"RefDes","Name","Pattern","Center X (mm)","Center Y (mm)","Side","Rotation","Value","Origin X (mm)","Origin Y (mm)","Part Number (LCSC)","Part Number (Digi-Key)","Part Number (Mouser)","MP","Package"
"J14","B9B-XH-A(LF)(SN)","SHDRV9W64P250_9X1_2490X575H700","169.75","39.025","Top","0.0","EDB","179.75","38.5","C157966","","","",""
"J15","B9B-XH-A(LF)(SN)","SHDRV9W64P250_9X1_2490X575H700","196","39.024","Top","0.0","EDC","206","38.5","C157966","","","",""
"J16","OSTVE043050","SHDRV4W110P381_4X1_1524X770H1130","154.365","14","Top","0.0","","148.65","13.45","","","","",""
"J17","B9B-XH-A(LF)(SN)","SHDRV9W64P250_9X1_2490X575H700","143.5","55.024","Top","0.0","EDX","153.5","54.5","C157966","","","",""
"J18","OSTVE043050","SHDRV4W110P381_4X1_1524X770H1130","170.615","14","Top","0.0","","164.9","13.45","","","","",""
"J19","2-2387405-2","2387405-2","35","121.85","Top","180.0","Port_1","40","116.8","","","","",""
"J20","B4P-VH(LF)(SN)","JST_B4P-VH(LF)(SN)","14.45","33.25","Top","270.01","","15","33.25","","","","10164227-1004A1RLF",""
"J21","B4P-VH(LF)(SN)","JST_B4P-VH(LF)(SN)","54.5","14.25","Top","0.0","","54.5","14.8","","","","10164227-1004A1RLF",""
"J22","B6P-VH(LF)(SN)","JST_B6P-VH(LF)(SN)","75.95","14.25","Top","0.01","","75.95","14.8","","","","10164227-1004A1RLF",""
"J23","B4P-VH(LF)(SN)","JST_B4P-VH(LF)(SN)","97.25","14.25","Top","0.0","","97.25","14.8","","","","10164227-1004A1RLF",""
"J24","B6P-VH(LF)(SN)","JST_B6P-VH(LF)(SN)","14.447","54.6","Top","270.0","","14.997","54.6","","","","10164227-1004A1RLF",""
"J25","B9B-XH-A(LF)(SN)","SHDRV9W64P250_9X1_2490X575H700","169.75","55.024","Top","0.0","EDY","179.75","54.5","C157966","","","",""
"J26","B9B-XH-A(LF)(SN)","SHDRV9W64P250_9X1_2490X575H700","196","55.024","Top","0.0","EDZ","206","54.5","C157966","","","",""
"J27","5499922-1","TE_5499922-1","175.58","74.035","Top","0.0","BCD","170.5","72.5","C305993","","","",""
"J28","5499922-1","TE_5499922-1","175.58","64.035","Top","0.0","XYZ","170.5","62.5","C305993","","","",""
"J29","PPTC041LFBN-RC","RHDRV4W80P254_4X1_1066X250H875_AP1","200.575","95.885","Top","90.0","SWD","200.575","92.075","","S7002-ND","","",""
"J30","2-2387405-2","2387405-2","85","121.85","Top","180.0","Port_1","90","116.8","","","","",""
"J31","2-2387405-2","2387405-2","135","121.85","Top","180.0","Port_1","140","116.8","","","","",""
"J32","2-2387405-2","2387405-2","185","121.85","Top","180.0","Port_1","190","116.8","","","","",""
"J33","B4B-XH-A(LF)(SN)","SHDRV4W64P250_4X1_1240X575H700","186.25","12.875","Top","180.0","AIN2","182.5","13.4","C144395","","","",""
"J34","B2B-XH-A(LF)(SN)","SHDRV2W64P250_2X1_740X575H700","183.75","30.025","Top","0.0","AIN1","185","29.5","C158012","","","",""
"J35","B6B-XH-A(LF)(SN)","SHDRV6W64P250_6X1_1740X575H700","199.75","30.025","Top","0.01","DDIF","206","29.5","C144397","","","",""
"J36","FTSH-105-01-X-DV-P-K-X","SAMTEC_FTSH-105-01-X-DV-P-K-X","121.85","55.05","Top","0.0","I2C","121.85","55.05","","","","FTSH-105-01-F-DV-K",""
"J37","B4B-XH-A(LF)(SN)","SHDRV4W64P250_4X1_1240X575H700","121.85","46.425","Top","0.0","BUTTONS","125.6","45.9","C144395","","","",""
"J38","PPTC041LFBN-RC","RHDRV4W80P254_4X1_1066X250H875_AP1","117.64","39.95","Top","180.0","SWD","121.45","39.95","","S7002-ND","","",""
"J39","B6B-XH-A(LF)(SN)","SHDRV6W64P250_6X1_1740X575H700","136.65","12.875","Top","180.0","RS422","130.4","13.4","C144397","","","",""
"J40","B2P-VH(LF)(SN)","JST_B2P-VH(LF)(SN)","40","14.25","Top","0.0","RPi/5V","40","14.5","","","","B2P-VH(LF)(SN)",""
"J41","10164227-1004A1RLF","AMPHENOL_10164227-1004A1RLF","70","97.5","Top","90.0","","70","97.5","","","","",""
"J42","10164227-1004A1RLF","AMPHENOL_10164227-1004A1RLF","150","97.5","Top","90.0","","150","97.5","","","","",""
"J43","10164227-1004A1RLF","AMPHENOL_10164227-1004A1RLF","135","63.5","Top","180.0","","135","63.5","","","","",""
"L1","SMNR4020-22UH","SUNLORD_4030S","42.9","49.6","Top","0.0","22uH ~1A","42.9","49.6","C135264","","","",""
"L2","","INDM686X647X300L127X318N","54.25","26.55","Top","270.0","4.7uH","54.25","26.55","C49073771","","","",""
"L4","SMNR4020-22UH","SUNLORD_4030S","42.9","74.6","Top","0.0","22uH ~1A","42.9","74.6","C135264","","","",""
"L5","IND_0603_N","IND_0603_TDK","103.8","45.625","Top","270.01","600R@100MHz +/-25%, 350mA, 500mohm DC","103.8","45.625","C141723","","","",""
"L6","SMNR4020-22UH","SUNLORD_4030S","24.05","22.85","Top","270.0","22uH ~1A","24.05","22.85","C135264","","","",""
"L7","","INDM686X647X300L127X318N","40","26.55","Top","270.0","4.7uH","40","26.55","C49073771","","-","",""
"LS1","HCM1205","CEP-2242","87.5","52","Top","135.0","","87.5","52","","","","",""
"MH2","Round","ROUND","14.1","95.9","Top","90.0","","14.1","95.9","","","","",""
"MH3","Round","ROUND","14.1","14.1","Top","90.0","","14.1","14.1","","","","",""
"MH4","Round","ROUND","205.9","95.9","Top","90.0","","205.9","95.9","","","","",""
"MH5","Round","ROUND","110","55","Top","90.0","","110","55","","","","",""
"MH1_PE","Round","ROUND","205.9","14.1","Top","90.0","","205.9","14.1","","","","",""
"Q1","IRF7341PbF","SOIC8P127_490X600X175L83X42N_AD1","83.9","39.55","Top","180.01","","83.9","39.55","","IRF7341PBF-ND","942-IRF7341PBF","",""
"Q2","TK110P10PL","DPAK3P228_991X238L51X76T645X546N_AP1","41.65","82.1","Top","90.0","","41.65","82.1","C695267","","","",""
"Q3","TK110P10PL","DPAK3P228_991X238L51X76T645X546N_AP1","41.65","64.35","Top","90.0","","41.65","64.35","C695267","","","",""
"Q4","IRF7341PbF","SOIC8P127_490X600X175L83X42N_AD1","75.9","39.55","Top","180.01","","75.9","39.55","","IRF7341PBF-ND","942-IRF7341PBF","",""
"Q5","TK110P10PL","DPAK3P228_991X238L51X76T645X546N_AP1","41.65","89.35","Top","90.0","","41.65","89.35","C695267","","","",""
"Q6","TK110P10PL","DPAK3P228_991X238L51X76T645X546N_AP1","41.65","57.1","Top","90.0","","41.65","57.1","C695267","","","",""
"Q7","SI1902CDL-T1-GE3","SOT23-6P65_210X110L20X22M","153.25","69.75","Top","270.0","2A -20V","153.25","69.75","C466988","","","",""
"Q9","SI1902CDL-T1-GE3","SOT23-6P65_210X110L20X22M","110.5","45.3","Top","0.0","2A -20V","110.5","45.3","C466988","","","",""
"Q10","BSS138LT1G","SOT23-3P95_240X110L43X44N","86.1","69.8","Top","180.0","","86.1","69.8","C82045","BSS138LT1GOSDKR-ND","863-BSS138LT1G","",""
"Q11","IRF7341PbF","SOIC8P127_490X600X175L83X42N_AD1","67.9","39.55","Top","180.01","","67.9","39.55","","IRF7341PBF-ND","942-IRF7341PBF","",""
"Q15","IRF7341PbF","SOIC8P127_490X600X175L83X42N_AD1","97.25","26.3","Top","180.0","","97.25","26.3","","IRF7341PBF-ND","942-IRF7341PBF","",""
"R1","RES_0603_N","RES_0603_N","70","109.8","Top","0.0","0R","70","109.8","","","","",""
"R2","RES_0603_N","RES_0603_N","51.65","87.4","Top","270.0","10K","51.65","87.4","","","","",""
"R3","RES_0603_N","RES_0603_N","79.785","47.295","Top","270.0","10K","79.785","47.295","","","","",""
"R4","RES_0603_N","RES_0603_N","85.4","44.05","Top","0.01","330R","85.4","44.05","","","","",""
"R5","RES_0603_N","RES_0603_N","78.285","47.295","Top","270.0","10K","78.285","47.295","","","","",""
"R6","RES_1812_M","RESC450X320X65L50N","193.3","23.15","Top","270.0","33K","193.3","23.15","","","","",""
"R7","RES_0603_N","RES_0603_N","82.4","44.05","Top","0.01","330R","82.4","44.05","","","","",""
"R8","RES_0603_N","RES_0603_N","76.385","47.295","Top","270.0","10K","76.385","47.295","","","","",""
"R9","RES_0603_N","RES_0603_N","77.4","44.05","Top","0.01","330R","77.4","44.05","","","","",""
"R10","RES_0603_N","RES_0603_N","74.885","47.295","Top","270.0","10K","74.885","47.295","","","","",""
"R11","RES_0603_N","RES_0603_N","74.4","44.05","Top","0.01","330R","74.4","44.05","","","","",""
"R12","RES_0603_N","RES_0603_N","51.65","62.45","Top","270.0","10K","51.65","62.45","","","","",""
"R13","RES_0402","RES_0402_202305","155.75","69.75","Top","90.0","10K 0402 1%","155.75","69.75","","","","",""
"R14","RES_0603_N","RES_0603_N","48.75","62.45","Top","90.0","10R","48.75","62.45","","","","",""
"R15","RES_0603_N","RES_0603_N","48.75","87.4","Top","90.0","10R","48.75","87.4","","","","",""
"R16","RES_0603_N","RES_0603_N","72.985","47.295","Top","270.0","10K","72.985","47.295","","","","",""
"R17","RES_0603_N","RES_0603_N","51.65","80.15","Top","270.0","10K","51.65","80.15","","","","",""
"R18","RES_0603_N","RES_0603_N","48.75","80.15","Top","90.0","10R","48.75","80.15","","","","",""
"R19","RES_0603_N","RES_0603_N","69.4","44.05","Top","0.01","330R","69.4","44.05","","","","",""
"R20","RES_0603_N","RES_0603_N","51.65","55.2","Top","270.0","10K","51.65","55.2","","","","",""
"R21","RES_0603_N","RES_0603_N","53.1","65.7","Top","270.0","10K","53.1","65.7","","","","",""
"R22","RES_0603_N","RES_0603_N","48.75","55.2","Top","90.0","10R","48.75","55.2","","","","",""
"R23","RES_0603_N","RES_0603_N","53.1","58.45","Top","270.0","10K","53.1","58.45","","","","",""
"R24","RES_0603_N","RES_0603_N","71.485","47.295","Top","270.0","10K","71.485","47.295","","","","",""
"R25","RES_0603_N","RES_0603_N","66.4","44.05","Top","0.01","330R","66.4","44.05","","","","",""
"R26","RES_0402","RES_0402_202305","103.8","51.25","Top","180.0","10K 0402 1%","103.8","51.25","","","","",""
"R27","RES_0402","RES_0402_202305","150.75","69.75","Top","270.0","10K 0402 1%","150.75","69.75","","","","",""
"R28","RES_0402","RES_0402_202305","103.8","50","Top","180.0","12K1 0402 1%","103.8","50","","","","",""
"R29","RES_0402","RES_0402_202305","124.15","39.95","Top","270.0","330R 0402 1%","124.15","39.95","","","","",""
"R30","RES_0402","RES_0402_202305","111.13","39.95","Top","270.0","330R 0402 1%","111.13","39.95","","","","",""
"R31","RES_0603_N","RES_0603_N","112.2","97.475","Top","180.0","10K","112.2","97.475","","","","",""
"R32","RES_0603_N","RES_0603_N","198.15","17.45","Top","180.0","47K","198.15","17.45","","","","",""
"R33","RES_0603_N","RES_0603_N","150","109.9","Top","0.0","0R","150","109.9","","","","",""
"R34","RES_0603_N","RES_0603_N","53.1","90.65","Top","270.0","10K","53.1","90.65","","","","",""
"R35","RES_0603_N","RES_0603_N","100.5","102.75","Top","90.0","1K","100.5","102.75","","","","",""
"R36","RES_0402","RES_0402_202305","202.9","87.45","Top","90.0","60R4 0402 1% 50V","202.9","87.45","","","","",""
"R37","RES_0402","RES_0402_202305","202.9","84.95","Top","90.0","60R4 0402 1% 50V","202.9","84.95","","","","",""
"R38","RES_0402","RES_0402_202305","125.5","87.5","Top","0.0","4K7 0402 1%","125.5","87.5","","","","",""
"R39","RES_0603_N","RES_0603_N","114.75","98.75","Top","270.0","1K","114.75","98.75","","","","",""
"R40","RES_0402","RES_0402_202305","125.5","88.5","Top","0.0","4K7 0402 1%","125.5","88.5","","","","",""
"R41","RES_0402","RES_0402_202305","58.775","43.45","Top","360.0","100K 0402 1%","58.775","43.45","","","","",""
"R42","RES_0402","RES_0402_202305","97.15","92.7","Top","270.0","10K 0402 1%","97.15","92.7","","","","",""
"R43","RES_0402","RES_0402_202305","38.9","52.1","Top","270.0","22K1 0402 1%","38.9","52.1","","","","",""
"R44","RES_0402","RES_0402_202305","202.9","108","Top","90.0","60R4 0402 1% 50V","202.9","108","","","","",""
"R45","RES_0603_N","RES_0603_N","53.1","83.4","Top","270.0","10K","53.1","83.4","","","","",""
"R46","RES_0402","RES_0402_202305","39.9","52.1","Top","270.0","309K 0402 1%","39.9","52.1","","","","",""
"R47","YC164-FR-072KL","RESCAXS8P80_320X160X70L30X50N","93","83.5","Top","270.0","2K","93","83.5","","YC164-FR-072KL-ND","603-YC164-FR-072KL","",""
"R48","RES_0402","RES_0402_202305","38.9","77.1","Top","270.0","22K1 0402 1%","38.9","77.1","","","","",""
"R49","RES_0402","RES_0402_202305","202.9","105.5","Top","90.0","60R4 0402 1% 50V","202.9","105.5","","","","",""
"R50","RES_0402","RES_0402_202305","39.9","77.1","Top","270.0","309K 0402 1%","39.9","77.1","","","","",""
"R51","RES_0603_N","RES_0603_N","100.5","98.75","Top","270.0","1K","100.5","98.75","","","","",""
"R52","RES_0603_N","RES_0603_N","114.75","102.75","Top","90.0","1K","114.75","102.75","","","","",""
"R53","RES_0603_N","RES_0603_N","105","98.75","Top","270.0","1K","105","98.75","","","","",""
"R54","RES_0603_N","RES_0603_N","119.25","98.75","Top","270.0","1K","119.25","98.75","","","","",""
"R55","RES_0603_N","RES_0603_N","105","102.75","Top","90.0","1K","105","102.75","","","","",""
"R56","RES_0603_N","RES_0603_N","119.25","102.75","Top","90.0","1K","119.25","102.75","","","","",""
"R57","RES_0402","RES_0402_202305","110.47","42.4","Top","180.0","10K 0402 1%","110.47","42.4","","","","",""
"R58","RES_0603_N","RES_0603_N","95","31.55","Top","90.0","330R","95","31.55","","","","",""
"R59","RES_0402","RES_0402_202305","110.5","48.2","Top","180.0","10K 0402 1%","110.5","48.2","","","","",""
"R60","RES_0402","RES_0402_202305","112.78","46.3","Top","90.0","330R 0402 1%","112.78","46.3","","","","",""
"R61","RES_0402","RES_0402_202305","112.78","44.25","Top","270.0","330R 0402 1%","112.78","44.25","","","","",""
"R62","RES_0402","RES_0402_202305","58.775","44.45","Top","180.0","100K 0402 1%","58.775","44.45","","","","",""
"R64","RES_0402","RES_0402_202305","95.65","45.875","Top","180.0","49.9R 0402 1%","95.65","45.875","","","","",""
"R65","RES_0402","RES_0402_202305","101.75","45.875","Top","0.0","49.9R 0402 1%","101.75","45.875","","","","",""
"R66","RES_0402","RES_0402_202305","101.75","47.875","Top","0.0","49.9R 0402 1%","101.75","47.875","","","","",""
"R67","RES_0402","RES_0402_202305","95.65","47.875","Top","180.0","49.9R 0402 1%","95.65","47.875","","","","",""
"R68","RES_0603_N","RES_0603_N","54.25","41.05","Top","0.0","24K9","54.25","41.05","","","","",""
"R69","RES_0402","RES_0402_202305","100.6","59.3","Top","90.0","10K 0402 1%","100.6","59.3","","","","",""
"R70","RES_0603_N","RES_0603_N","185","24.5","Top","90.0","1K","185","24.5","","","","",""
"R71","RES_0603_N","RES_0603_N","51.25","41.05","Top","180.0","100K","51.25","41.05","","","","",""
"R72","RES_0402","RES_0402_202305","99.65","59.3","Top","90.0","10K 0402 1%","99.65","59.3","","","","",""
"R73","RES_0603_N","RES_0603_N","182.5","24.5","Top","90.0","1K","182.5","24.5","","","","",""
"R74","RES_0603_N","RES_0603_N","187.4","18.4","Top","270.0","1K","187.4","18.4","","","","",""
"R75","RES_0402","RES_0402_202305","95.25","56.7","Top","180.0","10K 0402 1%","95.25","56.7","","","","",""
"R76","RES_0402","RES_0402_202305","94.95","59.3","Top","90.0","10K 0402 1%","94.95","59.3","","","","",""
"R77","RES_0603_N","RES_0603_N","190.2","18.4","Top","270.0","1K","190.2","18.4","","","","",""
"R78","RES_0402","RES_0402_202305","95.25","55.75","Top","180.0","33R 0402 1%","95.25","55.75","","","","",""
"R79","RES_0402","RES_0402_202305","95.9","59.3","Top","90.0","33R 0402 1%","95.9","59.3","","","","",""
"R80","RES_0402","RES_0402_202305","101.55","59.3","Top","90.0","33R 0402 1%","101.55","59.3","","","","",""
"R81","RES_0402","RES_0402_202305","98.7","59.3","Top","90.0","33R 0402 1%","98.7","59.3","","","","",""
"R82","RES_0402","RES_0402_202305","96.8","59.3","Top","270.0","10K 0402 1%","96.8","59.3","","","","",""
"R83","RES_0402","RES_0402_202305","94","59.3","Top","90.0","1K5 0402 1%","94","59.3","","","","",""
"R84","RES_0402","RES_0402_202305","105.5","87.45","Top","0.0","4K7 0402 1%","105.5","87.45","","","","",""
"R85","RES_0402","RES_0402_202305","105.5","88.45","Top","0.0","4K7 0402 1%","105.5","88.45","","","","",""
"R86","YC164-FR-072KL","RESCAXS8P80_320X160X70L30X50N","196","47.75","Top","270.0","2K","196","47.75","","YC164-FR-072KL-ND","603-YC164-FR-072KL","",""
"R87","RES_0603_N","RES_0603_N","162","88.5","Top","270.0","1K","162","88.5","","","","",""
"R88","RES_0603_N","RES_0603_N","132.9","18.25","Top","90.0","10R","132.9","18.25","","","","",""
"R89","RES_0603_N","RES_0603_N","172.3","94.65","Top","0.01","10K","172.3","94.65","","","","",""
"R90","RES_1206_N","RES_1206_N","134.2","20.9","Top","180.0","120R","134.2","20.9","","","","",""
"R91","YC164-FR-072KL","RESCAXS8P80_320X160X70L30X50N","180.25","47.75","Top","270.0","2K","180.25","47.75","","YC164-FR-072KL-ND","603-YC164-FR-072KL","",""
"R92","RES_0603_N","RES_0603_N","167","88.5","Top","270.0","1K","167","88.5","","","","",""
"R93","YC164-FR-072KL","RESCAXS8P80_320X160X70L30X50N","164.75","47.74","Top","270.0","2K","164.75","47.74","","YC164-FR-072KL-ND","603-YC164-FR-072KL","",""
"R94","YC164-FR-072KL","RESCAXS8P80_320X160X70L30X50N","149","47.75","Top","270.0","2K","149","47.75","","YC164-FR-072KL-ND","603-YC164-FR-072KL","",""
"R95","RES_0603_N","RES_0603_N","175.15","94.65","Top","0.01","10K","175.15","94.65","","","","",""
"R96","YC164-FR-072KL","RESCAXS8P80_320X160X70L30X50N","133.25","47.75","Top","270.0","2K","133.25","47.75","","YC164-FR-072KL-ND","603-YC164-FR-072KL","",""
"R97","RES_0603_N","RES_0603_N","169.5","88.5","Top","270.0","1K","169.5","88.5","","","","",""
"R98","RES_0603_N","RES_0603_N","49.25","38.05","Top","180.0","100K","49.25","38.05","","","","",""
"R99","RES_0603_N","RES_0603_N","49","40.3","Top","90.0","1K","49","40.3","","","","",""
"R100","RES_0603_N","RES_0603_N","58","36.55","Top","90.0","0R","58","36.55","","","","",""
"R101","RES_0603_N","RES_0603_N","178","94.65","Top","0.01","10K","178","94.65","","","","",""
"R102","RES_0603_N","RES_0603_N","49.25","35.05","Top","0.0","0R","49.25","35.05","","","","",""
"R103","RES_0603_N","RES_0603_N","49.25","36.55","Top","180.0","33K2","49.25","36.55","","","","",""
"R104","RES_0603_N","RES_0603_N","96.5","31.55","Top","270.0","10K","96.5","31.55","","","","",""
"R105","RES_0603_N","RES_0603_N","174.5","88.5","Top","270.0","1K","174.5","88.5","","","","",""
"R106","RES_0603_N","RES_0603_N","180.85","94.65","Top","0.01","10K","180.85","94.65","","","","",""
"R107","RES_0603_N","RES_0603_N","198.15","18.9","Top","180.0","1K","198.15","18.9","","","","",""
"R108","RES_0402","RES_0402_202305","31.75","18.3","Top","270.0","22K1 0402 1%","31.75","18.3","","","","",""
"R109","RES_0603_N","RES_0603_N","180.85","98.85","Top","0.01","10K","180.85","98.85","","","","",""
"R110","RES_0603_N","RES_0603_N","180.75","88.5","Top","270.0","1K","180.75","88.5","","","","",""
"R111","RES_0402","RES_0402_202305","30.75","18.3","Top","270.0","174K 0402 1%","30.75","18.3","","","","",""
"R112","RES_0603_N","RES_0603_N","178","98.85","Top","0.01","10K","178","98.85","","","","",""
"R113","RES_0603_N","RES_0603_N","185.75","88.5","Top","270.0","1K","185.75","88.5","","","","",""
"R114","RES_0402_M","RES_0402_M","151.25","78.25","Top","0.0","10K","151.25","78.25","","","","",""
"R115","RES_0603_N","RES_0603_N","188.25","88.5","Top","270.0","1K","188.25","88.5","","","","",""
"R116","RES_0603_N","RES_0603_N","40","41.05","Top","0.0","24K9","40","41.05","","","","",""
"R117","RES_0603_N","RES_0603_N","37","41.05","Top","180.0","100K","37","41.05","","","","",""
"R118","RES_0603_N","RES_0603_N","35","38.05","Top","180.0","100K","35","38.05","","","","",""
"R119","RES_0603_N","RES_0603_N","34.75","40.3","Top","90.0","1K","34.75","40.3","","","","",""
"R120","RES_0603_N","RES_0603_N","175.15","98.85","Top","0.01","10K","175.15","98.85","","","","",""
"R121","RES_0603_N","RES_0603_N","172.3","98.85","Top","0.01","10K","172.3","98.85","","","","",""
"R122","RES_0603_N","RES_0603_N","193.25","88.5","Top","270.0","1K","193.25","88.5","","","","",""
"R123","RES_0603_N","RES_0603_N","135.4","18.25","Top","90.0","10R","135.4","18.25","","","","",""
"R124","RES_0603_N","RES_0603_N","137.9","18.25","Top","90.0","10R","137.9","18.25","","","","",""
"R125","RES_0603_N","RES_0603_N","152.4","26.7","Top","270.0","510R","152.4","26.7","","","","",""
"R126","RES_0603_N","RES_0603_N","140.4","18.25","Top","90.0","10R","140.4","18.25","","","","",""
"R127","RES_0603_N","RES_0603_N","43.75","36.55","Top","90.0","0R","43.75","36.55","","","","",""
"R128","RES_0603_N","RES_0603_N","159.9","26.7","Top","270.0","510R","159.9","26.7","","","","",""
"R129","RES_0603_N","RES_0603_N","163.65","26.7","Top","270.0","","163.65","26.7","","","","",""
"R130","RES_0603_N","RES_0603_N","163.65","21.7","Top","270.0","510R","163.65","21.7","","","","",""
"R131","RES_0603_N","RES_0603_N","35","35.05","Top","0.0","0R","35","35.05","","","","",""
"R132","RES_0603_N","RES_0603_N","35","36.55","Top","180.0","33K2","35","36.55","","","","",""
"R133","YC164-FR-072KL","RESCAXS8P80_320X160X70L30X50N","93","88","Top","270.0","2K","93","88","","YC164-FR-072KL-ND","603-YC164-FR-072KL","",""
"R134","YC164-FR-072KL","RESCAXS8P80_320X160X70L30X50N","100","92.7","Top","180.0","2K","100","92.7","","YC164-FR-072KL-ND","603-YC164-FR-072KL","",""
"R135","RES_0402","RES_0402_BATTRC","86.1","72.3","Top","0.0","10K 0402 1%","86.1","72.3","","","","",""
"R136","RES_0402","RES_0402_202305","198.45","97.85","Top","90.0","10K 0402 1%","198.45","97.85","","","","",""
"R137","RES_0402","RES_0402_202305","191.25","92.4","Top","90.0","2K7 0402 1%","191.25","92.4","","","","",""
"R138","RES_0603_N","RES_0603_N","198.575","102.4","Top","180.0","1K","198.575","102.4","","","","",""
"R139","RES_0402","RES_0402_202305","75.5","73.5","Top","180.0","10K 0402 1%","75.5","73.5","","","","",""
"R140","RES_0603_N","RES_0603_N","171.15","26.7","Top","270.0","","171.15","26.7","","","","",""
"R141","RES_0603_N","RES_0603_N","171.15","21.7","Top","270.0","510R","171.15","21.7","","","","",""
"R142","RES_0603_N","RES_0603_N","67","54.35","Top","180.0","330R","67","54.35","","","","",""
"R143","RES_0603_N","RES_0603_N","67","60.35","Top","0.0","1K","67","60.35","","","","",""
"R144","RES_0402","RES_0402_202305","75.5","76","Top","180.0","10K 0402 1%","75.5","76","","","","",""
"R145","RES_0402","RES_0402_202305","65.6","76.975","Top","270.0","30K 0402 1%","65.6","76.975","","","","",""
"R146","RES_0402","RES_0402_202305","65.6","75.2","Top","270.0","10K 0402 1%","65.6","75.2","","","","",""
"R147","RES_0402","RES_0402_202305","65","73.05","Top","180.0","49.9R 0402 1%","65","73.05","","","","",""
"R148","RES_0402","RES_0402_202305","65","70.25","Top","180.0","49.9R 0402 1%","65","70.25","","","","",""
"R149","RES_0603_N","RES_0603_N","70","81.55","Top","180.0","0R","70","81.55","","","","",""
"R150","RES_0603_N","RES_0603_N","98","31.55","Top","90.0","330R","98","31.55","","","","",""
"R151","RES_0603_N","RES_0603_N","99.5","31.55","Top","270.0","10K","99.5","31.55","","","","",""
"R166","RES_0603_N","RES_0603_N","44.5","39.55","Top","180.0","330R","44.5","39.55","","","","",""
"R167","RES_0603_N","RES_0603_N","19.45","22.85","Top","270.0","510R","19.45","22.85","","","","",""
"R172","RES_0603_N","RES_0603_N","58.75","39.55","Top","180.0","330R","58.75","39.55","","","","",""
"R173","RES_0603_N","RES_0603_N","54.6","55.2","Top","270.0","330R","54.6","55.2","","","","",""
"R174","RES_0603_N","RES_0603_N","54.55","80.15","Top","270.0","330R","54.55","80.15","","","","",""
"R175","RES_0402","RES_0402_202305","117.2","92.7","Top","270.0","10K 0402 1%","117.2","92.7","","","","",""
"R176","YC164-FR-072KL","RESCAXS8P80_320X160X70L30X50N","113","83.5","Top","270.0","2K","113","83.5","","YC164-FR-072KL-ND","603-YC164-FR-072KL","",""
"R177","YC164-FR-072KL","RESCAXS8P80_320X160X70L30X50N","113","88","Top","270.0","2K","113","88","","YC164-FR-072KL-ND","603-YC164-FR-072KL","",""
"R178","YC164-FR-072KL","RESCAXS8P80_320X160X70L30X50N","120","92.7","Top","180.0","2K","120","92.7","","YC164-FR-072KL-ND","603-YC164-FR-072KL","",""
"U1","LM61460AASQRJRRQ1","IC_LM61460AASQRJRRQ1","54.25","34.05","Top","270.0","","54.25","34.05","","","","LM61460AASQRJRRQ1","VQFN-HR-14 Texas Instruments"
"U2","LMR51610YDBVR","SOT23-6P95_280X145L45X37N","36.9","74.6","Top","180.0","1100kHz PFM","36.9","74.6","C22427220","","","",""
"U3","78L05G-AB3-R","QORVO_SOT-89","51.4","46.15","Top","180.0","","51.4","46.15","C71136","","","",""
"U4","LMR51610YDBVR","SOT23-6P95_280X145L45X37N","30.35","22.85","Top","0.0","1100kHz PFM","30.35","22.85","C22427220","","","",""
"U5","LM61460AASQRJRRQ1","IC_LM61460AASQRJRRQ1","40","34.05","Top","270.0","","40","34.05","","","","LM61460AASQRJRRQ1","VQFN-HR-14 Texas Instruments"
"U6","XGZP6859D","CF_XGZP6859D_N","23.7","98.7","Top","180.0","","23.7","98.7","","","","",""
"U7","ADUM1200ARZ-RL7","SOIC8P127_490X600X175L83X41N_AD1","58.15","63.5","Top","90.0","","58.15","63.5","C15219","ADUM1200ARZ-RL7DKR-ND","584-ADUM1200ARZ-R7","",""
"U8","XGZP6859D","CF_XGZP6859D_N","32.95","98.7","Top","180.0","","32.95","98.7","","","","",""
"U9","MCP1416T-E/OT","SOT23-5P95_270X145L35X35N_AD1","49.45","65.7","Top","90.0","","49.45","65.7","C83775","MCP1416T-E/OTDKR-ND","579-MCP1416T-E/OT","",""
"U10","SN74HCT245DGSR","TI_DGS0020A_N_N","75.65","53.545","Top","180.0","","75.65","53.545","C6489181","","","",""
"U11","78L05G-AB3-R","QORVO_SOT-89","51.4","71.1","Top","180.0","","51.4","71.1","C71136","","","",""
"U12","AM26LV32CD","SOIC16P127_990X600X175L83X41N_AD4","141","47.75","Top","180.0","","141","47.75","C1543745","296-6794-5-ND","595-AM26LV32CD","",""
"U13","LMR51610YDBVR","SOT23-6P95_280X145L45X37N","36.9","49.6","Top","180.0","1100kHz PFM","36.9","49.6","C22427220","","","",""
"U14","MCP1416T-E/OT","SOT23-5P95_270X145L35X35N_AD1","49.45","90.65","Top","90.0","","49.45","90.65","C83775","MCP1416T-E/OTDKR-ND","579-MCP1416T-E/OT","",""
"U15","MCP1416T-E/OT","SOT23-5P95_270X145L35X35N_AD1","49.45","83.4","Top","90.0","","49.45","83.4","C83775","MCP1416T-E/OTDKR-ND","579-MCP1416T-E/OT","",""
"U16","MCP1416T-E/OT","SOT23-5P95_270X145L35X35N_AD1","49.45","58.45","Top","90.0","","49.45","58.45","C83775","MCP1416T-E/OTDKR-ND","579-MCP1416T-E/OT","",""
